Source,Target,Weight,Season
OPTICS,DATA_COMMERCE,66,1
OPTICS,LIDAR,66,1
OPTICS,SENSOR,66,1
OPTICS,LASER,66,1
OPTICS,LED,66,1
OPTICS,QLED,66,1
OPTICS,CAMERA,66,1
VEHICLES,COMBUSION_ENGINES,160,1
VEHICLES,HEATING_COOLING,66,1
VEHICLES,ELECTRIC_POWER,66,1
VEHICLES,RECORDING,66,1
VEHICLES,INFO_TRANSMISSION,66,1
VEHICLES,TURBINES_ENGINES,66,1
VEHICLES,AERONAUTICAL,66,1
VEHICLES,GYROSCOPE,66,1
VEHICLES,LIDAR,66,1
VEHICLES,RADAR,66,1
VEHICLES,SENSOR,66,1
SEMICONDUCTOR,INFO_TRANSMISSION,150,1
SEMICONDUCTOR,PHOTOLITHOGRAPHY,66,1
SEMICONDUCTOR,OPTICS,66,1
SEMICONDUCTOR,ELECTRIC_POWER,66,1
SEMICONDUCTOR,CONSTRUCTION,66,1
SEMICONDUCTOR,CARBON_NANOTUBES,66,1
SEMICONDUCTOR,METALS,66,1
SEMICONDUCTOR,LIDAR,66,1
SEMICONDUCTOR,CONVERTERS,66,1
SEMICONDUCTOR,SENSOR,66,1
SEMICONDUCTOR,LED,66,1
SEMICONDUCTOR,QLED,66,1
SEMICONDUCTOR,MEMS_SENSORS,66,1
SEMICONDUCTOR,CHEMICAL_VAPOR_DEPOSITION,66,1
SEMICONDUCTOR,PHYSICAL_VAPOR_DEPOSITION,66,1
SEMICONDUCTOR,TRANSCONDUCTOR,66,1
SEMICONDUCTOR,HYBRID_FET,66,1
SEMICONDUCTOR,ATOMIC_LAYER_DEPOSITION,66,1
COMPUTING,MEDICAL_DEVICES,160,1
COMPUTING,TEXTILES,66,1
COMPUTING,OPTICS,66,1
COMPUTING,RECORDING,66,1
COMPUTING,INFO_TRANSMISSION,66,1
COMPUTING,DATA_COMMERCE,66,1
COMPUTING,RADAR,66,1
COMPUTING,LIDAR,66,1
COMPUTING,AI,66,1
COMPUTING,VR,66,1
COMPUTING,AUGMENTED_REALITY,66,1
COMPUTING,MACHINE_LEARNING,66,1
COMPUTING,5G,66,1
COMPUTING,SOFTWARE_ARCHITECTURE,66,1
COMPUTING,NETWORK,66,1
COMPUTING,SHARED_NETWORK,66,1
COMPUTING,CLOUD_STORAGE,66,1
CONSTRUCTION,TEXTILES,100,1
CONSTRUCTION,SEMICONDUCTOR,66,1
CONSTRUCTION,FURNACES,66,1
CONSTRUCTION,METALS,66,1
CONSTRUCTION,GYPSUM,66,1
CONSTRUCTION,VR,66,1
DOMESTIC_APPLIANCES,FOOD,150,1
DOMESTIC_APPLIANCES,DRUGS_MED_CHEM,66,1
DOMESTIC_APPLIANCES,FURNACES,66,1
DOMESTIC_APPLIANCES,SENSOR,66,1
DOMESTIC_APPLIANCES,WIFI,66,1
DOMESTIC_APPLIANCES,BLUETOOTH,66,1
DOMESTIC_APPLIANCES,SOFTWARE_ARCHITECTURE,66,1
DOMESTIC_APPLIANCES,NETWORK,66,1
DOMESTIC_APPLIANCES,SHARED_NETWORK,66,1
DOMESTIC_APPLIANCES,CLOUD_STORAGE,66,1
DOMESTIC_APPLIANCES,TRANSMISSION_CONTROL_PROTOCOL,66,1
DOMESTIC_APPLIANCES,FURNACES,66,1
SENSOR,FOOD,180,1
SENSOR,MEDICAL_DEVICES,66,1
SENSOR,CATALYSIS_SEPRATION,66,1
SENSOR,LAB_EQUIP,66,1
SENSOR,COMMUNICATION,66,1
SENSOR,OPTICS,66,1
SENSOR,DOMESTIC_APPLIANCES,66,1
SENSOR,ELECTRIC_POWER,66,1
SENSOR,CARBON_NANOTUBES,66,1
SENSOR,SEMICONDUCTOR,66,1
SENSOR,MEDICAL_TOOLS,66,1
SENSOR,LIGHTING,66,1
SENSOR,METALS,66,1
SENSOR,MEASUREMENTS,66,1
SENSOR,AERONAUTICAL,66,1
SENSOR,LIDAR,66,1
SENSOR,RADAR,66,1
SENSOR,POSITIONING_SYSTEM,66,1
SENSOR,VR,66,1
SENSOR,AUGMENTED_REALITY,66,1
SENSOR,CONVERTERS,66,1
SENSOR,LASER,66,1
SENSOR,LED,66,1
SENSOR,QLED,66,1
SENSOR,CAMERA,66,1
SENSOR,BLOOD_PRESSURE_SENSOR,66,1
SENSOR,TEMPERATURE_SENSOR,66,1
SENSOR,GYROSCOPE,66,1
SENSOR,MEMS_SENSORS,66,1
SENSOR,NETWORK,66,1
SENSOR,CHEMICAL_VAPOR_DEPOSITION,66,1
SENSOR,PHYSICAL_VAPOR_DEPOSITION,66,1
SENSOR,TRANSMISSION_CONTROL_PROTOCOL,66,1
SENSOR,TRANSCONDUCTOR,66,1
SENSOR,HYBRID_FET,66,1
SENSOR,ATOMIC_LAYER_DEPOSITION,66,1
